Select the country where your practice is located.,Where is your primary surgery location?,How many years have you been in practice post training?,Are you an ESCRS delegate?,Q_PHACO_DEFAULT,Q_PRESBYOPIA_DEFAULT,Q_ASTIGMATISM_DEFAULT,Q_REFRACTIVE_DEFAULT,Q_OCULARSURFACE_DEFAULT,Q_GLAUCOMA_DEFAULT,Q_RETINA_DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Stop and chop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Private hospital,11-20 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,,Wavefront-customized,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Corporate-owned clinic,Currently in training,"No, and I have no plans to become a delegate",,,,,26-50,,1-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,Extended depth of focus IOLs,Ink marking at the slit lamp with no additional instruments,,26-50,I do not perform surgical interventions,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Private hospital,21-30 years,Yes,Divide and conquer,Extended depth of focus IOLs,,Wavefront-optimized,11-25,,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Private hospital,Over 30 years,Yes,Vertical chop,Trifocal IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Wavefront-optimized,100 or more,,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Private hospital,Over 30 years,Yes,,,,Femtosecond intrastromal lenticule extraction ,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Hospital-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",,26-50,After first-line medication,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South",Academic institution or non-profit,6-10 years,"No, and I have no plans to become a delegate",Horizontal chop,Extended depth of focus IOLs,,,51-99,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Corporate-owned clinic,11-20 years,Yes,Stop and chop,,Ink marking at the slit lamp with no additional instruments,,26-50,After three medications,21-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",Stop and chop,,,,51-99,After two medications,121-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Retired or do not currently perform surgery,Over 30 years,Yes,,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Private hospital,0-5 years,"No, but I plan to become a delegate in the next 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Corporate-owned clinic,0-5 years,"No, but I plan to become a delegate in the next 12 months",,Extended depth of focus IOLs,"Ink marking with the aid of manual axial instruments (i.e. RK or LRI marker, Mendez gauge, etc.)",Standard ablations,11-25,,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Surgeon-owned clinic,21-30 years,Yes,,Extended depth of focus IOLs,,Wavefront-customized,10-Jun,After first-line medication,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Retired or do not currently perform surgery,Over 30 years,"No, and I have no plans to become a delegate",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Public hospital,Currently in training,"No, and I have no plans to become a delegate",,Extended depth of focus IOLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Public hospital,6-10 years,"No, but I plan to become a delegate in the next 12 months",,Bifocal IOLs,Ink marking at the slit lamp with no additional instruments,Wavefront-optimized,100 or more,After two medications,41-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Academic institution or non-profit,11-20 years,"No, and I have no plans to become a delegate",,,,,26-50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
